96,151,155,y
100,166,173,y
94,163,170,y
91,144,148,y
95,160,165,y
89,151,158,y
83,135,140,y
82,142,148,y
79,141,149,y
100,86,145,r
90,78,141,r
81,68,130,r
89,74,136,r
81,65,133,r
77,63,130,r
83,67,133,r
71,57,126,r
68,54,124,r
166,100,83,b
158,91,71,b
156,88,68,b
161,90,72,b
159,86,64,b
157,81,62,b
158,84,68,b
155,78,59,b
152,76,58,b
213,201,188,w
207,197,186,w
201,193,181,w
212,199,186,w
210,200,189,w
204,196,187,w
209,190,180,w
209,195,183,w
196,186,177,w
110,126,72,g
108,124,69,g
101,119,64,g
106,121,65,g
101,116,60,g
98,114,58,g
99,114,61,g
94,108,55,g
89,105,52,g
68,77,110,o
68,83,124,o
62,80,123,o
66,78,118,o
66,81,126,o
61,79,123,o
55,69,109,o
59,75,122,o
54,73,117,o
